timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-20T14:29:47,20260420_142927,1,1,1,26.66,01_avg_26.66C.png
2026-04-20T14:29:50,20260420_142927,1,2,2,26.64,02_avg_26.64C.png
2026-04-20T14:29:54,20260420_142927,1,3,3,26.63,03_avg_26.63C.png
2026-04-20T14:29:57,20260420_142927,1,4,4,26.68,04_avg_26.68C.png
2026-04-20T14:30:01,20260420_142927,1,5,5,26.69,05_avg_26.69C.png
2026-04-20T14:30:04,20260420_142927,1,6,6,26.77,06_avg_26.77C.png
2026-04-20T14:30:08,20260420_142927,1,7,7,26.59,07_avg_26.59C.png
2026-04-20T14:30:11,20260420_142927,1,8,8,26.65,08_avg_26.65C.png
2026-04-20T14:30:15,20260420_142927,1,9,9,26.54,09_avg_26.54C.png
2026-04-20T14:30:19,20260420_142927,1,10,10,26.71,10_avg_26.71C.png
2026-04-20T14:30:22,20260420_142927,1,11,11,26.61,11_avg_26.61C.png
2026-04-20T14:30:26,20260420_142927,1,12,12,26.80,12_avg_26.80C.png
2026-04-20T14:30:29,20260420_142927,1,13,13,26.71,13_avg_26.71C.png
2026-04-20T14:30:33,20260420_142927,1,14,14,26.77,14_avg_26.77C.png
2026-04-20T14:30:36,20260420_142927,1,15,15,26.74,15_avg_26.74C.png
