timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-20T14:40:20,20260420_143934,1,1,1,28.45,01_avg_28.45C.png
2026-04-20T14:40:24,20260420_143934,1,2,2,28.44,02_avg_28.44C.png
2026-04-20T14:40:27,20260420_143934,1,3,3,28.47,03_avg_28.47C.png
2026-04-20T14:40:31,20260420_143934,1,4,4,28.56,04_avg_28.56C.png
2026-04-20T14:40:34,20260420_143934,1,5,5,28.74,05_avg_28.74C.png
2026-04-20T14:40:38,20260420_143934,1,6,6,28.92,06_avg_28.92C.png
2026-04-20T14:40:41,20260420_143934,1,7,7,29.19,07_avg_29.19C.png
2026-04-20T14:40:45,20260420_143934,1,8,8,29.10,08_avg_29.10C.png
2026-04-20T14:40:48,20260420_143934,1,9,9,28.95,09_avg_28.95C.png
2026-04-20T14:40:52,20260420_143934,1,10,10,28.90,10_avg_28.90C.png
2026-04-20T14:40:55,20260420_143934,1,11,11,29.04,11_avg_29.04C.png
2026-04-20T14:40:59,20260420_143934,1,12,12,28.93,12_avg_28.93C.png
2026-04-20T14:41:03,20260420_143934,1,13,13,29.00,13_avg_29.00C.png
2026-04-20T14:41:06,20260420_143934,1,14,14,29.03,14_avg_29.03C.png
2026-04-20T14:41:10,20260420_143934,1,15,15,29.13,15_avg_29.13C.png
2026-04-20T14:42:12,20260420_143934,2,1,16,29.63,16_avg_29.63C.png
2026-04-20T14:42:16,20260420_143934,2,2,17,29.67,17_avg_29.67C.png
2026-04-20T14:42:19,20260420_143934,2,3,18,29.69,18_avg_29.69C.png
2026-04-20T14:42:23,20260420_143934,2,4,19,29.65,19_avg_29.65C.png
2026-04-20T14:42:26,20260420_143934,2,5,20,29.81,20_avg_29.81C.png
2026-04-20T14:42:30,20260420_143934,2,6,21,29.76,21_avg_29.76C.png
2026-04-20T14:42:33,20260420_143934,2,7,22,29.71,22_avg_29.71C.png
2026-04-20T14:42:37,20260420_143934,2,8,23,29.79,23_avg_29.79C.png
2026-04-20T14:42:40,20260420_143934,2,9,24,29.83,24_avg_29.83C.png
2026-04-20T14:42:44,20260420_143934,2,10,25,29.88,25_avg_29.88C.png
2026-04-20T14:42:47,20260420_143934,2,11,26,29.88,26_avg_29.88C.png
2026-04-20T14:42:51,20260420_143934,2,12,27,29.87,27_avg_29.87C.png
2026-04-20T14:42:54,20260420_143934,2,13,28,29.99,28_avg_29.99C.png
2026-04-20T14:42:58,20260420_143934,2,14,29,29.93,29_avg_29.93C.png
2026-04-20T14:43:01,20260420_143934,2,15,30,29.86,30_avg_29.86C.png
