timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-20T14:33:05,20260420_143244,1,1,1,26.70,01_avg_26.70C.png
2026-04-20T14:33:08,20260420_143244,1,2,2,26.84,02_avg_26.84C.png
2026-04-20T14:33:12,20260420_143244,1,3,3,26.67,03_avg_26.67C.png
2026-04-20T14:33:15,20260420_143244,1,4,4,26.70,04_avg_26.70C.png
2026-04-20T14:33:19,20260420_143244,1,5,5,28.53,05_avg_28.53C.png
2026-04-20T14:33:23,20260420_143244,1,6,6,26.94,06_avg_26.94C.png
2026-04-20T14:33:26,20260420_143244,1,7,7,26.66,07_avg_26.66C.png
2026-04-20T14:33:30,20260420_143244,1,8,8,26.76,08_avg_26.76C.png
2026-04-20T14:33:33,20260420_143244,1,9,9,26.71,09_avg_26.71C.png
2026-04-20T14:33:37,20260420_143244,1,10,10,26.51,10_avg_26.51C.png
2026-04-20T14:33:40,20260420_143244,1,11,11,26.72,11_avg_26.72C.png
2026-04-20T14:33:44,20260420_143244,1,12,12,26.69,12_avg_26.69C.png
2026-04-20T14:33:47,20260420_143244,1,13,13,26.72,13_avg_26.72C.png
2026-04-20T14:33:51,20260420_143244,1,14,14,26.76,14_avg_26.76C.png
2026-04-20T14:33:54,20260420_143244,1,15,15,26.62,15_avg_26.62C.png
2026-04-20T14:34:23,20260420_143244,2,1,16,26.65,16_avg_26.65C.png
2026-04-20T14:34:26,20260420_143244,2,2,17,26.64,17_avg_26.64C.png
2026-04-20T14:34:30,20260420_143244,2,3,18,26.73,18_avg_26.73C.png
2026-04-20T14:34:33,20260420_143244,2,4,19,26.68,19_avg_26.68C.png
2026-04-20T14:34:37,20260420_143244,2,5,20,26.73,20_avg_26.73C.png
2026-04-20T14:34:40,20260420_143244,2,6,21,26.78,21_avg_26.78C.png
2026-04-20T14:34:44,20260420_143244,2,7,22,26.66,22_avg_26.66C.png
2026-04-20T14:34:47,20260420_143244,2,8,23,26.64,23_avg_26.64C.png
2026-04-20T14:34:51,20260420_143244,2,9,24,26.63,24_avg_26.63C.png
2026-04-20T14:34:55,20260420_143244,2,10,25,29.74,25_avg_29.74C.png
2026-04-20T14:34:58,20260420_143244,2,11,26,29.75,26_avg_29.75C.png
2026-04-20T14:35:02,20260420_143244,2,12,27,26.75,27_avg_26.75C.png
2026-04-20T14:35:05,20260420_143244,2,13,28,26.60,28_avg_26.60C.png
2026-04-20T14:35:09,20260420_143244,2,14,29,26.51,29_avg_26.51C.png
2026-04-20T14:35:12,20260420_143244,2,15,30,26.68,30_avg_26.68C.png
2026-04-20T14:35:28,20260420_143244,3,1,31,26.79,31_avg_26.79C.png
2026-04-20T14:35:32,20260420_143244,3,2,32,26.79,32_avg_26.79C.png
2026-04-20T14:35:35,20260420_143244,3,3,33,26.58,33_avg_26.58C.png
2026-04-20T14:35:39,20260420_143244,3,4,34,26.70,34_avg_26.70C.png
2026-04-20T14:35:42,20260420_143244,3,5,35,26.65,35_avg_26.65C.png
2026-04-20T14:35:46,20260420_143244,3,6,36,26.58,36_avg_26.58C.png
2026-04-20T14:35:49,20260420_143244,3,7,37,26.57,37_avg_26.57C.png
2026-04-20T14:35:53,20260420_143244,3,8,38,26.69,38_avg_26.69C.png
2026-04-20T14:35:57,20260420_143244,3,9,39,26.70,39_avg_26.70C.png
2026-04-20T14:36:00,20260420_143244,3,10,40,26.84,40_avg_26.84C.png
2026-04-20T14:36:04,20260420_143244,3,11,41,26.66,41_avg_26.66C.png
2026-04-20T14:36:07,20260420_143244,3,12,42,26.69,42_avg_26.69C.png
2026-04-20T14:36:11,20260420_143244,3,13,43,26.64,43_avg_26.64C.png
2026-04-20T14:36:15,20260420_143244,3,14,44,26.71,44_avg_26.71C.png
2026-04-20T14:36:18,20260420_143244,3,15,45,26.54,45_avg_26.54C.png
