timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-22T14:05:25,20260422_140510,1,1,1,29.23,01_avg_29.23C.png
2026-04-22T14:05:28,20260422_140510,1,2,2,29.30,02_avg_29.30C.png
2026-04-22T14:05:31,20260422_140510,1,3,3,29.28,03_avg_29.28C.png
2026-04-22T14:05:34,20260422_140510,1,4,4,29.25,04_avg_29.25C.png
2026-04-22T14:05:37,20260422_140510,1,5,5,29.30,05_avg_29.30C.png
2026-04-22T14:05:40,20260422_140510,1,6,6,29.44,06_avg_29.44C.png
2026-04-22T14:05:43,20260422_140510,1,7,7,29.42,07_avg_29.42C.png
2026-04-22T14:05:46,20260422_140510,1,8,8,29.56,08_avg_29.56C.png
2026-04-22T14:05:49,20260422_140510,1,9,9,29.49,09_avg_29.49C.png
2026-04-22T14:05:52,20260422_140510,1,10,10,29.45,10_avg_29.45C.png
2026-04-22T14:05:55,20260422_140510,1,11,11,29.54,11_avg_29.54C.png
2026-04-22T14:05:58,20260422_140510,1,12,12,29.58,12_avg_29.58C.png
2026-04-22T14:06:01,20260422_140510,1,13,13,29.70,13_avg_29.70C.png
2026-04-22T14:06:04,20260422_140510,1,14,14,29.79,14_avg_29.79C.png
2026-04-22T14:06:07,20260422_140510,1,15,15,29.79,15_avg_29.79C.png
2026-04-22T14:06:37,20260422_140510,2,1,16,30.48,16_avg_30.48C.png
2026-04-22T14:06:40,20260422_140510,2,2,17,30.47,17_avg_30.47C.png
2026-04-22T14:06:43,20260422_140510,2,3,18,30.64,18_avg_30.64C.png
2026-04-22T14:06:46,20260422_140510,2,4,19,30.60,19_avg_30.60C.png
2026-04-22T14:06:49,20260422_140510,2,5,20,30.74,20_avg_30.74C.png
2026-04-22T14:06:52,20260422_140510,2,6,21,30.83,21_avg_30.83C.png
2026-04-22T14:06:55,20260422_140510,2,7,22,30.94,22_avg_30.94C.png
2026-04-22T14:06:58,20260422_140510,2,8,23,30.98,23_avg_30.98C.png
2026-04-22T14:07:01,20260422_140510,2,9,24,31.18,24_avg_31.18C.png
2026-04-22T14:07:04,20260422_140510,2,10,25,31.27,25_avg_31.27C.png
2026-04-22T14:07:07,20260422_140510,2,11,26,31.29,26_avg_31.29C.png
2026-04-22T14:07:10,20260422_140510,2,12,27,31.50,27_avg_31.50C.png
2026-04-22T14:07:13,20260422_140510,2,13,28,31.57,28_avg_31.57C.png
2026-04-22T14:07:16,20260422_140510,2,14,29,31.60,29_avg_31.60C.png
2026-04-22T14:07:19,20260422_140510,2,15,30,31.81,30_avg_31.81C.png
2026-04-22T14:08:07,20260422_140510,3,1,31,33.33,31_avg_33.33C.png
2026-04-22T14:08:10,20260422_140510,3,2,32,33.33,32_avg_33.33C.png
2026-04-22T14:08:13,20260422_140510,3,3,33,33.38,33_avg_33.38C.png
2026-04-22T14:08:17,20260422_140510,3,4,34,33.58,34_avg_33.58C.png
2026-04-22T14:08:20,20260422_140510,3,5,35,33.58,35_avg_33.58C.png
2026-04-22T14:08:23,20260422_140510,3,6,36,33.88,36_avg_33.88C.png
2026-04-22T14:08:26,20260422_140510,3,7,37,33.73,37_avg_33.73C.png
2026-04-22T14:08:29,20260422_140510,3,8,38,33.87,38_avg_33.87C.png
2026-04-22T14:08:32,20260422_140510,3,9,39,34.09,39_avg_34.09C.png
2026-04-22T14:08:35,20260422_140510,3,10,40,34.06,40_avg_34.06C.png
2026-04-22T14:08:38,20260422_140510,3,11,41,34.18,41_avg_34.18C.png
2026-04-22T14:08:41,20260422_140510,3,12,42,34.25,42_avg_34.25C.png
2026-04-22T14:08:43,20260422_140510,3,13,43,34.40,43_avg_34.40C.png
2026-04-22T14:08:46,20260422_140510,3,14,44,34.34,44_avg_34.34C.png
2026-04-22T14:08:49,20260422_140510,3,15,45,34.48,45_avg_34.48C.png
