timestamp,run_stamp,set_number,image_in_set,global_image_number,avg_temp_C,filename
2026-04-22T14:38:37,20260422_141517,1,1,1,35.85,01_avg_35.85C.png
2026-04-22T14:38:40,20260422_141517,1,2,2,35.82,02_avg_35.82C.png
2026-04-22T14:38:43,20260422_141517,1,3,3,35.83,03_avg_35.83C.png
2026-04-22T14:38:45,20260422_141517,1,4,4,35.82,04_avg_35.82C.png
2026-04-22T14:38:48,20260422_141517,1,5,5,35.90,05_avg_35.90C.png
2026-04-22T14:38:51,20260422_141517,1,6,6,35.89,06_avg_35.89C.png
2026-04-22T14:38:54,20260422_141517,1,7,7,35.86,07_avg_35.86C.png
2026-04-22T14:38:57,20260422_141517,1,8,8,36.04,08_avg_36.04C.png
2026-04-22T14:39:00,20260422_141517,1,9,9,36.01,09_avg_36.01C.png
2026-04-22T14:39:03,20260422_141517,1,10,10,36.06,10_avg_36.06C.png
2026-04-22T14:39:06,20260422_141517,1,11,11,36.04,11_avg_36.04C.png
2026-04-22T14:39:09,20260422_141517,1,12,12,36.11,12_avg_36.11C.png
2026-04-22T14:39:12,20260422_141517,1,13,13,36.10,13_avg_36.10C.png
2026-04-22T14:39:15,20260422_141517,1,14,14,36.12,14_avg_36.12C.png
2026-04-22T14:39:17,20260422_141517,1,15,15,36.13,15_avg_36.13C.png
2026-04-22T14:55:15,20260422_141517,2,1,16,55.56,16_avg_55.56C.png
2026-04-22T14:55:18,20260422_141517,2,2,17,55.59,17_avg_55.59C.png
2026-04-22T14:55:21,20260422_141517,2,3,18,55.60,18_avg_55.60C.png
2026-04-22T14:55:24,20260422_141517,2,4,19,55.60,19_avg_55.60C.png
2026-04-22T14:55:27,20260422_141517,2,5,20,55.68,20_avg_55.68C.png
2026-04-22T14:55:30,20260422_141517,2,6,21,55.70,21_avg_55.70C.png
2026-04-22T14:55:33,20260422_141517,2,7,22,55.71,22_avg_55.71C.png
2026-04-22T14:55:35,20260422_141517,2,8,23,55.67,23_avg_55.67C.png
2026-04-22T14:55:38,20260422_141517,2,9,24,55.81,24_avg_55.81C.png
2026-04-22T14:55:41,20260422_141517,2,10,25,55.80,25_avg_55.80C.png
2026-04-22T14:55:44,20260422_141517,2,11,26,55.83,26_avg_55.83C.png
2026-04-22T14:55:47,20260422_141517,2,12,27,55.89,27_avg_55.89C.png
2026-04-22T14:55:50,20260422_141517,2,13,28,55.97,28_avg_55.97C.png
2026-04-22T14:55:53,20260422_141517,2,14,29,55.98,29_avg_55.98C.png
2026-04-22T14:55:56,20260422_141517,2,15,30,55.98,30_avg_55.98C.png
2026-04-22T15:02:22,20260422_141517,3,1,31,67.86,31_avg_67.86C.png
2026-04-22T15:02:25,20260422_141517,3,2,32,67.85,32_avg_67.85C.png
2026-04-22T15:02:28,20260422_141517,3,3,33,67.90,33_avg_67.90C.png
2026-04-22T15:02:31,20260422_141517,3,4,34,67.96,34_avg_67.96C.png
2026-04-22T15:02:34,20260422_141517,3,5,35,67.99,35_avg_67.99C.png
2026-04-22T15:02:37,20260422_141517,3,6,36,68.07,36_avg_68.07C.png
2026-04-22T15:02:40,20260422_141517,3,7,37,68.05,37_avg_68.05C.png
2026-04-22T15:02:42,20260422_141517,3,8,38,68.17,38_avg_68.17C.png
2026-04-22T15:02:45,20260422_141517,3,9,39,68.17,39_avg_68.17C.png
2026-04-22T15:02:48,20260422_141517,3,10,40,68.34,40_avg_68.34C.png
2026-04-22T15:02:51,20260422_141517,3,11,41,68.44,41_avg_68.44C.png
2026-04-22T15:02:54,20260422_141517,3,12,42,68.56,42_avg_68.56C.png
2026-04-22T15:02:57,20260422_141517,3,13,43,68.54,43_avg_68.54C.png
2026-04-22T15:03:00,20260422_141517,3,14,44,68.58,44_avg_68.58C.png
2026-04-22T15:03:03,20260422_141517,3,15,45,68.66,45_avg_68.66C.png
